,Name,Team,GP,G,A,PTS,PTS/GM,PIMS,PLUS/MINUS
63,Mathieu Henderson (D),Flint Firebirds,68,10,44,54,0.79,36,-7
64,Spencer Watson (RW),Mississauga Steelheads,41,28,25,53,1.29,12,27
65,Mitchell Stephens (C),totals,51,22,31,53,1.04,26,22
,,Saginaw Spirit,22,11,17,28,1.27,14,13
,,London Knights,29,11,14,25,0.86,12,9
66,Lucas Chiodo (C),Barrie Colts,68,22,31,53,0.78,10,-13
67,Mitchell Vande Sompel (D),totals,67,20,33,53,0.79,35,17
,,Oshawa Generals,37,17,20,37,1,35,10
,,London Knights,30,3,13,16,0.53,0,7
68,David Levin (LW/RW),Sudbury Wolves,66,18,35,53,0.8,49,-38
69,Connor Bunnaman (C),Kitchener Rangers,64,37,15,52,0.81,30,-5
70,Eric Henderson (LW),Oshawa Generals,65,22,30,52,0.8,14,6
,,,,,,,,,
71,Médric Mercier (D),totals,67,22,30,52,0.78,45,-15
,,Soo Greyhounds,9,1,3,4,0.44,8,-1
,,Oshawa Generals,58,21,27,48,0.83,37,-14
72,Jack Studnicka (C),Oshawa Generals,64,18,34,52,0.81,36,-6
73,Graham Knott (LW/C),totals,59,15,37,52,0.88,61,-1
,,Niagara IceDogs,14,4,13,17,1.21,22,-6
,,Windsor Spitfires,45,11,24,35,0.78,39,5
74,Kris Bennett (C/LW),Saginaw Spirit,66,25,26,51,0.77,72,0
75,Stephen Desrocher (D),Kingston Frontenacs,65,12,39,51,0.78,30,1
76,MacAuley Carson (LW),Sudbury Wolves,68,30,20,50,0.74,37,4
77,Linus Nyman (LW/RW),Kingston Frontenacs,68,26,24,50,0.74,14,4
78,Ryan Valentini (C),Sudbury Wolves,66,18,32,50,0.76,18,-28
79,Ben Jones (C),Niagara IceDogs,63,13,37,50,0.79,56,-9
80,Jack Kopacka (LW),Soo Greyhounds,65,30,19,49,0.75,16,8
,,,,,,,,,
81,Matt Luff (RW),Hamilton Bulldogs,45,25,24,49,1.09,33,14
82,Patrick White (C),Ottawa 67's,68,22,27,49,0.72,24,-4
83,Brandon Saigeon (C),Hamilton Bulldogs,66,21,28,49,0.74,36,26
84,Niki Petti (C/LW),Hamilton Bulldogs,51,20,29,49,0.96,34,13
85,Kyle Jenkins (D),Peterborough Petes,67,12,37,49,0.73,26,-1
86,Akil Thomas (C),Niagara IceDogs,61,21,27,48,0.79,17,-23
87,Christopher Paquette (C),totals,66,19,29,48,0.73,28,1
,,Niagara IceDogs,37,12,17,29,0.78,14,-7
,,Peterborough Petes,29,7,12,19,0.66,14,8
88,Brady Gilmour (C),Saginaw Spirit,65,26,21,47,0.72,4,-8
89,Zach Gallant (C),Peterborough Petes,60,21,26,47,0.78,74,4
90,Ethan Szypula (C),Owen Sound Attack,64,11,36,47,0.73,65,5
,,,,,,,,,
91,Kyle Capobianco (D),Sudbury Wolves,65,10,37,47,0.72,66,-20
92,Adam Ruzicka (C/W),Sarnia Sting,61,25,21,46,0.75,30,-15
93,Nicolas Hague (D),Mississauga Steelheads,65,18,28,46,0.71,107,22
94,Nathan Bastian (RW),Mississauga Steelheads,58,16,29,45,0.78,43,13
95,Jalen Smereck (D),Flint Firebirds,60,9,36,45,0.75,62,10
96,Givani Smith (RW/LW),Guelph Storm,64,26,18,44,0.69,139,-9
97,Allan McShane (C),totals,62,17,27,44,0.71,6,9
,,Erie Otters,33,7,16,23,0.7,2,10
,,Oshawa Generals,29,10,11,21,0.72,4,-1
98,Victor Mete (D),London Knights,50,15,29,44,0.88,14,36
99,Evan Bouchard (D),London Knights,68,11,33,44,0.65,24,30
